score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=6|time=2026-01-25T04:42:50
100.0,209.0,Dart,1681058173156,3354337,Westicles,CX,79146641399080,
100.0,209.0,Dart,1724874104213,1399382,Regulus136,FR,4335723819637,
100.0,231.0,Dart,1694380726953,2874091,5DN1L,GB,134264063920528,
75.0,180.0,Dart,1744721475663,2536538,Pduhard-,FR,141372882868918,
75.0,404.0,Dart,1759130887669,1179950,KAKAROT_MPL,JP,156724769921685,
75.0,932.0,Dart,1680175250003,3553457,DakunSkye,US,37293763242396,
