league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=2|time=2026-06-21T08:19:02
1,20.63,D,1781989021455,6519814,3283415,Bon[]Crayon,FR,160930946926938,
1,17.68,D,1774434883850,6356740,884874,Zauberer,JP,,
