score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=48|time=2020-06-07T02:14:43
100,81,Lua,1567946817000,1654818,tarapitha,EE,79401682508715,
100,89,Lua,1567946817000,154984,_Royale,FR,17869369984436,
100,91,Lua,1567946817000,1100752,ValNykol,GB,10307803807981,
100,99,Lua,1567946817000,1629259,Marchete,ES,61997162908277,
100,99,Lua,1585444509000,1537792,AsaiYusuke,US,41785380851985,
100,103,Lua,1567946817000,1001096,MyIIone,AT,4231449697357,
100,105,Lua,1567946817000,371603,martin,CA,1761380964089,
100,110,Lua,1567946817000,334009,abouvier,FR,4681436111242,
100,129,Lua,1567946817000,1487168,FatIvan,GB,12794968553694,
100,129,Lua,1567946817000,1858764,vdevid,FR,11208522318239,
100,132,Lua,1567946817000,2288263,dbdr,UA,43448306132121,
100,138,Lua,1569025926000,2928146,LolCat,MU,22538133010433,
100,140,Lua,1567946817000,557990,Wazemo,PL,1724224108740,
100,157,Lua,1567946817000,553938,MagAlex,RU,3292063463360,
100,171,Lua,1567946817000,672359,Lesmana,DE,107843062966039,
100,203,Lua,1567946817000,507538,Krzybe,PL,,
100,206,Lua,1575333151000,3564009,Waffle3z,US,44751789808331,
100,216,Lua,1567946817000,464971,PsyGuy66,IT,1723613063820,
100,226,Lua,1567946817000,966463,Spectrenoir,FR,53715325273871,
100,227,Lua,1567946817000,886483,R4N4R4M4,FR,7943435133357,
100,246,Lua,1567946817000,816123,Nepta,FR,3321121694897,
100,257,Lua,1567946817000,2199642,ElNounch,FR,14573518580507,
100,259,Lua,1567946817000,1755689,dgjxqz,MY,,
100,271,Lua,1567946817000,2069141,tomeko,PL,13370027887052,
100,272,Lua,1567946817000,2815558,EvilDuck,FI,21420062999303,
100,275,Lua,1567946817000,735910,Agade,CH,1997542876524,
100,280,Lua,1567946817000,1418821,input.txt,RU,13393616028136,
100,284,Lua,1567946817000,911974,Manzazuu,FR,,
100,295,Lua,1567946817000,1495642,AtomCrafty,DE,5134929486180,
100,306,Lua,1567946817000,2786666,TetraktysPhi,FR,20818693590142,
100,312,Lua,1567946817000,1740037,ereiam,FR,12669494111004,
100,320,Lua,1567946817000,1883670,radekmie,PL,86797522736009,
100,333,Lua,1567946817000,1334479,apintor,PT,30361445546652,
100,341,Lua,1567946817000,223893,r0ots,FR,5389578227190,
100,353,Lua,1567946817000,155774,dwarfie,FR,17785582865119,
100,359,Lua,1567946817000,1188212,superredlark,CN,2920737364455,
100,363,Lua,1567946817000,1631414,JanGabrielsson,SE,8198653491151,
100,377,Lua,1567946817000,2043908,AntiSquid,,,
100,383,Lua,1567946817000,1307473,Evgenykz,UA,33899861048423,
100,495,Lua,1567946817000,1012062,KappaCoder,BG,2028423872296,
100,517,Lua,1567946817000,1707377,Colgate-Blancheur,FR,9896613056357,
100,809,Lua,1567946817000,885525,HGreed,PT,2942007344756,
100,952,Lua,1573864695000,1077559,PhOeNyX,FR,2248934338554,
100,1770,Lua,1567946817000,805067,Magus,FR,24623991925371,
100,1933,Lua,1567946817000,812470,dingjun,TW,,
100,1960,Lua,1567946817000,788361,Bob,FR,29407964997640,
100,3016,Lua,1567946817000,1323814,SatineChatounette,FR,70979840035465,
100,3051,Lua,1567946817000,1609933,Potatofactory,US,7029966042154,
